event_id,x_reco_ml,y_reco_ml,z_reco_ml,nLinesU,nLinesV
372,-2473.9364220899347,-1471.4520705616671,14761.883832706855,3,4
373,-199.0530829143754,-1374.737144837656,12880.311537367585,2,2
374,1647.163673863067,-863.0392519936864,15406.340844751321,2,2
375,544.7313634773743,-1152.0665579619529,16499.456589374382,2,2
376,2352.9099390715814,-1040.4941604232245,14053.599099614748,4,3
377,-2642.7110314217775,-2153.0624380850163,12701.961051299755,2,2
378,-2701.238967165711,-2198.5883177246224,11774.351310691774,2,3
379,61.7998099101346,-564.9424186777504,12091.13057067043,2,2
380,-253.80585911754167,-1672.7352512231557,12000.922899002499,6,4
381,1338.555123729913,-1059.1722304273642,15525.658314837889,3,3
382,-711.9365621895546,-1476.9432380234484,14044.510690882968,2,2
383,1671.784029622858,-1226.7368323772655,12846.266904499702,2,2
384,-2499.363906873149,-2190.5849942379255,12063.298975292728,3,2
385,1760.1021347707726,-1135.880769941275,16204.432233297064,3,3
386,-2538.7843370278097,-1193.6385757272492,13850.125665102207,2,3
387,-1598.3205772959684,-1464.5549774508804,14016.830570203903,2,2
388,658.6763969372563,-1679.225612708145,13278.412597088043,3,2
389,1324.9287662891018,-755.8972200165166,15730.86469859221,3,3
390,-1743.5028020355926,-1552.5828084678258,14047.984307323894,3,2
391,-467.6921556049721,-828.2077184378253,12877.00256103142,2,2
392,877.3016078797508,-961.5242222363387,15228.923534096371,3,4
393,-794.5135300380344,-968.8990120952925,14830.37145813308,2,2
394,1933.4537977478692,-1097.9310429470163,15215.70903437614,2,2
395,2455.8223958326753,-1808.6511473594949,13753.475861588806,2,2
396,-358.4916087519574,-1773.7667260606504,12804.048017357656,2,2
397,890.9021485450405,-1824.4116505521988,13921.839711675108,2,3
398,1898.6073521652297,-850.6366403574106,12427.009446784652,2,3
399,-2138.049915737595,-2161.130523203315,12810.787073980453,2,3
400,2433.2988816154602,-1363.6362405857801,12735.29172871779,3,4
401,2445.800826199076,-1499.139630981112,12704.967124261464,3,4
402,835.5955411428024,-1595.1996191488624,12607.312320503912,2,2
403,-2630.7626387105506,-1703.6133832354094,12858.025619746444,2,2
404,-794.596444567404,-1919.3906055507302,12858.28351365036,3,2
405,280.3466365151613,-1097.7420598062306,15510.263468892192,3,3
406,-1027.0214047600305,-1139.9498262341565,15976.649698127376,4,3
407,-915.4498474776536,-843.0868634283198,12092.023272421668,3,3
408,-1194.896997838974,-976.7399060069074,12758.6057230928,2,6
409,2352.9099390715814,-2074.6693675307233,16070.916903296287,2,3
410,-215.06610659664543,-770.3448760486741,13475.968240710428,4,3
411,-298.7586211406971,-1201.5647316863895,12805.862294505638,2,3
412,-786.5816115010937,-715.4813076981403,13730.515976017336,4,4
413,1460.063423842008,-1469.4202949328892,12538.93577682595,2,3
414,-302.2026361794257,-1129.298662302765,15798.70517470782,2,2
415,-126.226416666748,-871.2388990412994,12117.749784239957,3,4
416,854.8414891420288,-941.8391593976445,12893.381508793467,2,2
417,-623.8455400621718,-1366.025900409468,16133.497237691205,2,3
418,1000.4177044501647,-941.5145522994414,14681.560023969027,2,2
419,138.27382972599293,-853.2270528923169,14754.853846867501,2,2
420,1837.2513006975978,-1174.4619150442895,15404.460785756282,2,4
421,-228.15205797876447,-515.4549166193317,12759.892763906557,3,2
422,2574.9356206923385,-2031.9154327169538,12770.076370921664,3,3
423,-736.0685088234707,-977.8446456113245,12789.922146804163,2,4
424,-2360.4981796893735,-1978.312708711616,12290.29635614614,2,2
425,-1543.1102097223127,-1789.4380063817018,12974.227203154976,2,2
